eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
200,-729.0436287,1612,0.028876966,0.14487305,0.1382718,0.005822795,1775.7637,0.647555351,430,880640,576.1886107,880640
200,-685.7360214,1601,0.007122217,0.075683594,0.089034714,0.004605744,3391.7856,0.691941023,440,901120,589.0011849,901120
200,-766.0003688,1609,0.012469959,0.115039065,-0.001862561,0.008413168,2919.0625,0.728007466,450,921600,601.716698,921600
200,-821.0947846,1610,0.011345989,0.11435547,-0.041801,0.005381423,2635.5354,0.736813962,460,942080,614.4832654,942080
200,-805.7181756,1609,0.027638728,0.196875,-0.06280562,0.0136896,2527.6726,0.776918262,470,962560,627.1336629,962560
200,-768.8900248,1603,0.025993994,0.18769531,-0.07911201,0.016086807,2125.2617,0.79007028,480,983040,639.8724708,983040
200,-681.6891965,1608,0.017574418,0.13842773,-0.154782,0.007114485,1050.8175,0.835000187,490,1003520,652.5297922,1003520
200,-877.2888541,1600,0.015701007,0.13671875,-0.19804506,0.002852107,1262.7454,0.806579217,500,1024000,665.4133134,1024000
200,-754.5633601,1616,0.013129366,0.086523436,-0.2554058,0.003762911,2793.989,0.716094941,510,1044480,679.2343517,1044480
200,-923.8205548,1572,0.025593504,0.16826172,-0.3194509,0.011150749,2687.7124,0.753287449,520,1064960,694.9775518,1064960
200,-971.5389061,1621,0.021091666,0.14248046,-0.3080049,0.010969905,2252.2126,0.693163663,530,1085440,707.6979304,1085440
200,-910.3810628,1590,0.013182755,0.122558594,-0.37645957,0.004073977,1751.5114,0.706305772,540,1105920,720.4459172,1105920
200,-846.4258146,1600,0.024288407,0.18657227,-0.425461,0.014259483,3413.95,0.531588048,550,1126400,733.2049667,1126400
200,-854.4349347,1612,0.032375135,0.19648437,-0.4860847,0.01758226,1961.4863,0.743336499,560,1146880,746.010884,1146880
200,-921.5973053,1561,0.023504026,0.17626953,-0.5571491,0.013951974,2274.6323,0.72766459,570,1167360,759.0136231,1167360
200,-1015.524175,1609,0.02534441,0.16157226,-0.5998417,0.013273646,1122.6791,0.741551369,580,1187840,771.8145939,1187840
200,-817.1815216,1611,0.05103163,0.1866211,-0.62623596,0.02085309,1972.4199,0.6964885,590,1208320,784.62324,1208320
200,-827.5776903,1599,0.052581597,0.28969726,-0.67187554,0.030600756,1403.4344,0.825037152,600,1228800,797.2636062,1228800
200,-944.146157,1566,0.02170116,0.16513672,-0.72026885,0.0141629,2391.5898,0.75470309,610,1249280,810.0826848,1249280
200,-929.3091095,1599,0.09000547,0.29575196,-0.74758637,0.034692906,2319.5483,0.682087302,620,1269760,822.7723751,1269760
200,-1091.280018,1544,0.15324138,0.20092773,-0.77489144,0.024641462,3035.7124,0.485263407,630,1290240,835.5248366,1290240
200,-1109.501712,1611,0.061449982,0.1921875,-0.7799651,0.01721133,2811.6802,0.524940103,640,1310720,848.2386366,1310720
200,-1008.292926,1600,0.031931117,0.1830078,-0.8033436,0.014203697,2396.909,0.598786891,650,1331200,860.9252338,1331200
200,-914.4955587,1592,0.036257718,0.24609375,-0.8336148,0.019493481,2143.3916,0.768181905,660,1351680,873.8246546,1351680
200,-848.6331983,1569,0.04481462,0.23608398,-0.93352807,0.01238493,1355.7434,0.755602181,670,1372160,886.8644741,1372160
200,-909.2271149,1594,0.034521803,0.18105468,-0.94665325,0.015423807,2537.2456,0.669719756,680,1392640,899.6687716,1392640
200,-892.2481433,1608,0.21482182,0.2614746,-0.9548682,0.026122604,1190.4669,0.840135038,690,1413120,912.334537,1413120
200,-900.5646584,1549,0.04632818,0.25942382,-1.0105442,0.02627281,2445.888,0.794966906,700,1433600,925.0980051,1433600
200,-703.4884645,1599,0.027299553,0.16694336,-1.0694916,0.01273372,2300.3794,0.732833326,710,1454080,937.8381368,1454080
200,-941.8834466,1615,0.04645949,0.25493163,-1.0591251,0.026600894,3437.565,0.661216766,720,1474560,950.5261718,1474560
200,-829.8137013,1598,0.06127141,0.20180663,-1.0376992,0.024508733,2089.767,0.792456165,730,1495040,963.2975833,1495040
200,-931.6470146,1600,0.048375554,0.21884766,-0.99410677,0.019126887,1765.1833,0.835343555,740,1515520,976.8042083,1515520
200,-925.5893062,1590,0.045531992,0.18105468,-1.0600516,0.020923864,2147.9124,0.812018767,750,1536000,989.6121356,1536000
200,-895.1544015,1611,0.045044318,0.21499023,-1.076218,0.01535923,1111.0023,0.819766521,760,1556480,1002.324275,1556480
200,-942.9929203,1532,0.02300874,0.1586914,-1.0648088,0.007787698,3479.5571,0.309242308,770,1576960,1015.122864,1576960
200,-897.2295376,1601,0.11006341,0.26430663,-1.0505044,0.02154924,1274.48,0.798201665,780,1597440,1027.886946,1597440
200,-1033.425113,1596,0.1453583,0.2244629,-1.0900913,0.033753417,2612.4658,0.774906576,790,1617920,1040.677782,1617920
