Time	Iteration	Evaluations	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
180.95019268989563	1	10	-1467.7754911081151	58.656039649107086	-1306.3257917372061	-1516.5680955394614	40000
199.2063012123108	2	10	-1390.604760516278	108.16340029843592	-1272.6360453178386	-1532.261453628408	80000
215.26740312576294	3	10	-1320.7526970912675	216.83972741009873	-1144.440667882879	-1756.13913248522	120000
232.47000217437744	4	10	-1220.3110890181688	27.388107483446404	-1170.4663494130873	-1262.387442489553	160000
249.23563718795776	5	10	-1300.9069385414011	201.7038436903702	-1072.641661595168	-1683.6625390845186	200000
267.65914964675903	6	10	-1165.75371947863	54.9086802359276	-1017.0520690565527	-1215.898472259704	240000
286.369087934494	7	10	-1280.8061497770727	92.11872303177282	-1172.3735166831896	-1496.1045271686653	280000
301.8676788806915	8	10	-1212.2926262660874	18.173937521492515	-1171.5280767760237	-1238.9913939413636	320000
316.54806303977966	9	10	-1230.6544322959066	187.3585865924191	-1049.963513300887	-1733.0500187522314	360000
332.8372657299042	10	10	-1194.9367295057305	263.2954089506561	-936.0372969694846	-1722.1536328293143	400000
349.4653820991516	11	10	-1151.5139834480065	149.95697236803883	-1018.0872671811597	-1559.0954989108945	440000
366.299063205719	12	10	-1296.6237497524303	147.2744413416082	-1018.7565106353051	-1561.7340784760218	480000
381.72119092941284	13	10	-1154.4750746499303	101.72259511923443	-954.0957607260239	-1371.629963286217	520000
399.0354528427124	14	10	-1179.2214828983597	154.81910775442063	-1000.7963914861874	-1549.0337148568015	560000
415.2117350101471	15	10	-1241.2432926428335	59.441028956140386	-1129.3206921988847	-1341.7980147859432	600000
430.74267530441284	16	10	-1237.9875534375028	92.83727422316066	-1121.2952720532962	-1362.2556651013201	640000
444.48792791366577	17	10	-1296.07318705416	198.2116835777383	-1013.4448271105797	-1680.6437038725437	680000
460.20468640327454	18	10	-1300.478760624073	79.78154425869249	-1190.3083585944735	-1451.4730663630667	720000
473.20950651168823	19	10	-1373.6838217539453	93.31373717078614	-1290.213918555045	-1604.5627713005842	760000
485.4279692173004	20	10	-1300.1256016311045	57.827530276818706	-1184.3795545622047	-1368.9347990348165	800000
497.970326423645	21	10	-1380.7949381673463	142.2290340196404	-1160.8501325403336	-1712.7854650602987	840000
510.4582552909851	22	10	-1238.5850904064519	114.80112253240411	-1145.5881361740858	-1514.7363693683567	880000
522.1885802745819	23	10	-1266.4791293696603	84.66419360581541	-1143.7956523185094	-1385.906459757057	920000
535.9107551574707	24	10	-1208.2773676688573	154.0510800249987	-1055.8431049310434	-1611.8409869084126	960000
551.2438433170319	25	10	-1273.6974716805082	276.11243482708784	-994.4467854570114	-1696.7220678036365	1000000
567.1080594062805	26	10	-1332.0210142497822	351.32041350628595	-834.5154367093048	-1742.4127560599595	1040000
583.5943274497986	27	10	-1238.6657053953377	337.01370318624606	-641.913229319972	-1724.8801886960234	1080000
597.4813222885132	28	10	-1290.8906649599583	245.19686138767852	-888.7729221027704	-1645.8887287563512	1120000
612.3078763484955	29	10	-1244.4968488118304	293.2688383994725	-922.6561882283323	-1708.6025827136564	1160000
626.0605795383453	30	10	-1281.9857712685393	307.3601899899891	-933.2674925460261	-1763.127962692888	1200000
638.062281370163	31	10	-1290.0260275731835	167.56367891560143	-1069.51920664965	-1519.6230582216745	1240000
652.5422675609589	32	10	-1301.3258712313648	227.99450811502246	-988.4763146482615	-1719.2646438059357	1280000
668.9393236637115	33	10	-1306.0495167206825	204.39367992364973	-999.5584597519133	-1627.51607324671	1320000
681.5645523071289	34	10	-1422.6950029799793	282.20972880888644	-990.3755761202499	-1744.18661635172	1360000
693.276251077652	35	10	-1261.935779895676	296.4465091072064	-870.6244418784489	-1701.0001676007437	1400000
705.6001546382904	36	10	-1323.2515991180287	181.1780903378625	-1064.2044345392303	-1688.4003874584423	1440000
