eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
999,-2.95766574,2174,0.001613069,0.006835938,-0.45491448,-0.001044493,0.000293599,0.027381241,420,860160,393.9434219,860160
999,-2.71952634,2194,0.000660461,0,-0.49558425,-0.00058591,0.000229072,-0.003837347,430,880640,403.2909891,880640
999,-2.49172327,2154,0.002718157,0.029541016,-0.53826356,-0.002349984,0.000202192,-0.019408226,440,901120,412.614,901120
999,-2.28623065,2196,0.000210268,0,-0.5837564,-0.0003759,0.000163987,-0.008315802,450,921600,422.0146766,921600
999,-2.08985482,2102,0.001146481,0.001220703,-0.6279032,-0.000560186,0.000140255,-0.00797224,460,942080,431.6286076,942080
999,-1.9097712,2096,0.001645694,0.003173828,-0.6737226,-0.000541631,0.000116217,0.005720973,470,962560,441.2734678,962560
999,-1.75060923,2071,0.00087017,0.000976563,-0.71404517,-0.000588304,9.43E-05,0.001302361,480,983040,451.0345037,983040
999,-1.60799714,2132,0.000587047,0.000732422,-0.7553911,-0.000632902,8.00E-05,0.001115024,490,1003520,460.4141208,1003520
999,-1.46914008,2099,0.000279112,0.00012207,-0.8033543,-0.000712815,7.02E-05,0.011984885,500,1024000,470.1352985,1024000
999,-1.34624455,2104,0.001301162,0.006103516,-0.8453602,-0.001222287,9.58E-05,-0.017508984,510,1044480,479.6588639,1044480
999,-1.24365337,2185,6.37E-05,0,-0.89116204,-0.000226916,3.99E-05,-0.049571037,520,1064960,489.1183553,1064960
999,-1.13775192,2194,0.002328161,0.016723633,-0.93524486,-0.002609572,0.00020543,0.006499827,530,1085440,498.452566,1085440
999,-1.03720275,2182,0.000722933,0.000732422,-0.97203356,-0.001018334,9.71E-05,-0.015479922,540,1105920,507.7678961,1105920
999,-0.95318949,2200,0.001032307,0.000732422,-1.0121946,-0.001018787,4.59E-05,-0.010913372,550,1126400,517.2251418,1126400
999,-0.87477556,2204,0.001930306,0.012329102,-1.0548289,-0.001275655,7.29E-05,-0.186187148,560,1146880,526.5463967,1146880
999,-0.80489474,2194,5.66E-05,0,-1.1004221,-0.000585174,4.58E-05,-0.197920084,570,1167360,535.8742473,1167360
999,-0.74075443,2150,0.000111016,0,-1.1384757,-0.000135336,5.00E-05,-0.193081498,580,1187840,545.3235317,1187840
999,-0.68600662,2179,0.000381759,0,-1.1800715,-0.000633498,5.03E-05,-0.727335811,590,1208320,554.6450016,1208320
999,-0.62925488,2174,0.000186631,0,-1.2204522,-0.000515124,0.000113472,-0.026698232,600,1228800,563.9962916,1228800
999,-0.57936379,2086,0.001991047,0.008300781,-1.2578721,-0.001804675,0.000138228,-0.382731318,610,1249280,573.4231705,1249280
999,-0.53214505,2178,0.001649131,0.005249023,-1.2998102,-0.001784001,0.00021588,-0.029367089,620,1269760,582.7696994,1269760
999,-0.49108873,2184,0.000350084,0.00012207,-1.3423976,-0.000790461,0.000342673,-0.068361521,630,1290240,592.0885272,1290240
999,-0.44986348,2105,3.69E-05,0,-1.3839163,-0.000185378,0.000140472,-0.069852233,640,1310720,601.4478525,1310720
999,-0.41922977,2205,0.000497664,0,-1.4227268,-0.000597761,8.34E-06,-0.068440199,650,1331200,610.8238495,1331200
999,-0.38697552,2188,0.000644618,0,-1.4754674,-0.000793375,3.02E-05,-0.315222859,660,1351680,620.1580583,1351680
999,-0.35627811,2134,0.000256826,0,-1.5102099,-0.000491554,3.48E-06,-0.297857642,670,1372160,629.547039,1372160
999,-0.32803165,2155,3.94E-05,0,-1.5510153,-9.81E-05,0.000204635,-0.586325884,680,1392640,638.9662955,1392640
999,-0.30370363,2172,0.002403137,0.021972656,-1.5854903,-0.002832147,0.000293982,-1.294570684,690,1413120,648.3123235,1413120
999,-0.27801273,2188,0.000216227,0,-1.6158828,-0.000539247,6.05E-05,-0.584880233,700,1433600,657.645663,1433600
999,-0.25828293,2203,0.000179357,0,-1.6568437,-0.000836768,0.000141918,-0.420017719,710,1454080,667.1072377,1454080
999,-0.23898392,2194,0.000552149,0.00012207,-1.6947812,-0.000379803,9.82E-05,-0.075185418,720,1474560,676.415314,1474560
999,-0.22257122,2201,0.001004078,0.000610352,-1.7272092,-7.79E-05,4.19E-05,-0.161943316,730,1495040,685.7518488,1495040
999,-0.20623265,2179,0.000212786,0,-1.7668723,-0.001149775,8.59E-06,0.153305352,740,1515520,695.8127276,1515520
999,-0.19167223,2190,0.001607098,0.008666992,-1.8064067,-0.001930526,0.000281089,-0.222498655,750,1536000,705.1483315,1536000
999,-0.177528,2195,0.000869905,0.000488281,-1.8313755,-0.000985755,8.43E-05,-0.299710155,760,1556480,714.4832203,1556480
999,-0.16660286,2184,0.002129892,0.017211914,-1.8597388,-0.000834482,8.70E-05,-0.140182972,770,1576960,723.8780555,1576960
999,-0.15561012,2198,0.000420618,0,-1.9013453,-0.00061476,2.64E-05,-0.05673027,780,1597440,733.2050489,1597440
999,-0.14576304,2201,0.001830402,0.017333984,-1.9303209,-0.000709963,0.000105397,-0.096947789,790,1617920,742.5534187,1617920
999,-0.13816165,2197,0.000875622,0.000854492,-1.9476464,-0.000674956,2.60E-05,-0.102016687,800,1638400,751.9358374,1638400
999,-0.131057,2130,7.34E-05,0,-1.9760095,-0.000212873,1.20E-05,-0.396696925,810,1658880,761.3530281,1658880
999,-0.12321966,2188,0.001584023,0.006835938,-2.0042288,-0.000602391,1.67E-05,-1.299276114,820,1679360,770.6697098,1679360
999,-0.11690506,2192,1.52E-05,0,-2.035057,-5.67E-05,5.40E-06,-1.181545496,830,1699840,780.0063163,1699840
999,-0.11053152,2185,1.57E-05,0,-2.0614595,-0.000652387,1.13E-05,-0.959906697,840,1720320,789.4283269,1720320
999,-0.10436815,2185,0.00059051,0.000244141,-2.1030345,-0.000761349,5.47E-06,-1.113230467,850,1740800,798.7787066,1740800
999,-0.09771018,2182,0.001533231,0.007324219,-2.1349587,-0.001660954,1.38E-05,-0.619187474,860,1761280,808.1118007,1761280
999,-0.09164402,2199,0.001957914,0.010620117,-2.1692464,-0.001349,1.95E-05,-0.362993717,870,1781760,817.5704617,1781760
999,-0.08547084,2193,0.000802994,0.000366211,-2.2066782,-0.001658549,1.77E-05,-0.44286859,880,1802240,826.9030682,1802240
999,-0.07935925,2202,0.001517505,0.002807617,-2.2440083,-0.000788189,3.57E-07,-0.318951368,890,1822720,836.2192422,1822720
999,-0.07359764,2147,0.000120123,0,-2.2777534,-6.84E-05,5.61E-07,-0.877799153,900,1843200,845.6169168,1843200
999,-0.06874257,2182,0.00051195,0,-2.3095415,-5.67E-06,9.72E-07,-0.680309653,910,1863680,854.92098,1863680
999,-0.06429137,2186,0.000626183,0.000488281,-2.336459,-0.000380371,1.46E-06,-0.058981776,920,1884160,864.2618892,1884160
999,-0.06011155,2189,0.002027025,0.010009766,-2.3672774,-0.001950388,1.80E-06,-0.863506436,930,1904640,873.6910879,1904640
999,-0.05630566,2198,0.000923118,0.00012207,-2.3957229,-0.000205336,2.26E-06,-1.194771051,940,1925120,883.0280983,1925120
999,-0.05320825,2168,0.003660955,0.041503906,-2.420442,-0.001081617,1.02E-05,-1.40483427,950,1945600,892.3648023,1945600
999,-0.05029399,2202,0.000298531,0,-2.4487073,-0.000265817,2.11E-07,-0.12626183,960,1966080,901.7572467,1966080
999,-0.04762506,2181,0.000166517,0,-2.4741566,-0.000124264,4.03E-07,-0.506780863,970,1986560,911.1403653,1986560
999,-0.04529225,2186,9.47E-05,0,-2.504314,-0.000323806,3.64E-07,-0.821470261,980,2007040,920.4812749,2007040
999,-0.0429818,2138,0.00030115,0,-2.529227,-0.000376659,2.24E-07,-0.357053995,990,2027520,929.86049,2027520
999,-0.0407111,2185,0.000819254,0.000732422,-2.5599096,-0.000364248,4.48E-07,-0.814347744,1000,2048000,939.2697448,2048000
999,-0.0386829,2184,0.001830223,0.004882813,-2.5825572,-0.000641631,7.86E-07,-1.580008507,1010,2068480,948.5949748,2068480
999,-0.03650637,2190,5.00E-05,0,-2.6180048,-4.93E-05,3.75E-07,-1.345641851,1020,2088960,957.9293974,2088960
999,-0.0344258,2205,0.007881781,0.118652344,-2.6414723,-0.002018178,3.21E-07,-0.603384495,1030,2109440,967.3731712,2109440
999,-0.03244683,2194,0.00183457,0.009155273,-2.6658478,-0.001410126,9.79E-07,-0.049622416,1040,2129920,976.6891453,2129920
999,-0.03074863,2179,0.003912201,0.041381836,-2.6968637,-0.000924182,4.50E-07,-1.060395002,1050,2150400,986.0373162,2150400
999,-0.02903201,2184,0.000543276,0.000366211,-2.7265828,-0.000926579,1.17E-07,-0.38072741,1060,2170880,995.4695964,2170880
999,-0.0274646,2171,0.000536361,0,-2.7642977,6.97E-05,2.22E-07,-1.110906124,1070,2191360,1004.82109,2191360
999,-0.02602198,2185,0.002994618,0.040771484,-2.7891436,-0.000829027,5.71E-07,-1.281371117,1080,2211840,1014.159708,2211840
999,-0.02457094,1668,0.002643115,0.016113281,-2.8116841,-0.001561427,3.85E-07,-0.496846795,1090,2232320,1024.189051,2232320
999,-0.02326697,2205,0.001134414,0.00402832,-2.8366678,-0.00053107,2.39E-07,-1.785294533,1100,2252800,1033.594821,2252800
999,-0.02203155,2157,0.001494614,0.006958008,-2.8634396,-0.000541916,2.13E-07,-1.431568146,1110,2273280,1042.951984,2273280
999,-0.02099016,2183,0.00473923,0.05908203,-2.890789,-0.001802732,2.25E-08,-0.101267576,1120,2293760,1052.344122,2293760
999,-0.01994628,2131,2.73E-05,0,-2.916197,-0.00015501,3.83E-07,-0.331586957,1130,2314240,1061.726707,2314240
999,-0.01886168,2172,0.000437076,0.00012207,-2.9501977,-0.000155287,8.53E-08,-1.571496964,1140,2334720,1071.057007,2334720
999,-0.01780568,2187,0.002056564,0.012451172,-2.9748907,-0.000376543,3.10E-08,-0.188464642,1150,2355200,1080.418295,2355200
999,-0.01676981,2188,0.001800598,0.004882813,-2.9998083,9.41E-05,2.10E-07,-0.582368135,1160,2375680,1089.83928,2375680
